,Roosevelt Vote,Smith Vote,Lewis Vote,Roosevelt Vote,Women Voters,Party Vote,Bond Issue,Wet Vote,Voting Interest,Foreign Birth,Catholic Origins,Median Rental,Home Ownership,Unemployment
Roosevelt Vote,,,,,,,,,,,,,,
Smith Vote,0.94,,,,,,,,,,,,,
Lewis Vote,0.84,0.78,,,,,,,,,,,,
Women Voters,-0.66,-0.57,-0.55,,,,,,,,,,,
Party Vote,0.84,0.79,0.62,-0.68,,,,,,,,,,
Bond Issue,0.4,0.46,0.17,-0.37,0.45,,,,,,,,,
Wet Vote,0.62,0.64,0.62,-0.34,0.42,0.5,,,,,,,,
Voting Interest,0.27,0.35,0.21,-0.21,0.48,0.08,0.1,,,,,,,
Foreign Birth,0.73,0.64,0.6,-0.51,0.66,0.14,0.38,0.32,,,,,,
Catholic Origins,0.78,0.78,0.57,-0.54,0.75,0.2,0.34,0.32,0.72,,,,,
Median Rental,-0.68,-0.62,-0.53,0.58,-0.76,-0.12,-0.34,-0.43,-0.66,-0.74,,,,
Home Ownership,-0.05,-0.15,0.03,-0.07,0.08,-0.57,-0.33,0.18,0.16,0.15,-0.25,,,
Unemployment,0.76,0.69,0.57,-0.68,0.81,0.25,0.36,0.32,0.7,0.78,-0.8,0.25,,
,,,,,,,,,,,,,,
n=147,,,,,,,,,,,,,,
